validation_event,gradient_weight,outcome_weight,matches,mean_score_points,mean_outcome_points,mean_total_points
2024 Euro/Copa,0.3,0.1,83,6.686746987951807,20.72289156626506,27.40963855421687
2024 Euro/Copa,0.3,0.2,83,6.686746987951807,21.204819277108435,27.89156626506024
2024 Euro/Copa,0.3,0.3,83,6.686746987951807,21.204819277108435,27.89156626506024
2024 Euro/Copa,0.3,0.4,83,6.686746987951807,21.204819277108435,27.89156626506024
2024 Euro/Copa,0.3,0.6,83,6.686746987951807,21.204819277108435,27.89156626506024
2024 Euro/Copa,0.45,0.0,83,6.807228915662651,20.72289156626506,27.53012048192771
2024 Euro/Copa,0.45,0.1,83,6.807228915662651,20.72289156626506,27.53012048192771
2024 Euro/Copa,0.45,0.2,83,6.807228915662651,20.72289156626506,27.53012048192771
2024 Euro/Copa,0.45,0.3,83,6.807228915662651,20.72289156626506,27.53012048192771
2024 Euro/Copa,0.45,0.4,83,6.807228915662651,20.72289156626506,27.53012048192771
2024 Euro/Copa,0.45,0.6,83,6.807228915662651,20.72289156626506,27.53012048192771
2024 Euro/Copa,0.6,0.0,83,6.445783132530121,20.72289156626506,27.16867469879518
2024 Euro/Copa,0.6,0.1,83,6.445783132530121,20.72289156626506,27.16867469879518
2024 Euro/Copa,0.6,0.2,83,6.445783132530121,20.72289156626506,27.16867469879518
2024 Euro/Copa,0.6,0.3,83,6.445783132530121,20.72289156626506,27.16867469879518
2024 Euro/Copa,0.6,0.4,83,6.445783132530121,20.72289156626506,27.16867469879518
2024 Euro/Copa,0.6,0.6,83,6.445783132530121,20.72289156626506,27.16867469879518
2024 winter cups,0.0,0.0,103,5.339805825242719,20.194174757281555,25.533980582524272
2024 winter cups,0.0,0.1,103,5.339805825242719,19.805825242718445,25.145631067961165
2024 winter cups,0.0,0.2,103,5.339805825242719,19.805825242718445,25.145631067961165
2024 winter cups,0.0,0.3,103,5.339805825242719,19.805825242718445,25.145631067961165
2024 winter cups,0.0,0.4,103,5.339805825242719,19.805825242718445,25.145631067961165
2024 winter cups,0.0,0.6,103,5.339805825242719,19.805825242718445,25.145631067961165
2024 winter cups,0.05,0.0,103,5.436893203883495,20.194174757281555,25.631067961165048
2024 winter cups,0.05,0.1,103,5.436893203883495,19.805825242718445,25.24271844660194
2024 winter cups,0.05,0.2,103,5.436893203883495,19.805825242718445,25.24271844660194
2024 winter cups,0.05,0.3,103,5.436893203883495,19.805825242718445,25.24271844660194
2024 winter cups,0.05,0.4,103,5.436893203883495,19.805825242718445,25.24271844660194
2024 winter cups,0.05,0.6,103,5.436893203883495,19.805825242718445,25.24271844660194
2024 winter cups,0.1,0.0,103,5.388349514563107,20.194174757281555,25.58252427184466
2024 winter cups,0.1,0.1,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.1,0.2,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.1,0.3,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.1,0.4,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.1,0.6,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.15,0.0,103,5.388349514563107,20.194174757281555,25.58252427184466
2024 winter cups,0.15,0.1,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.15,0.2,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.15,0.3,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.15,0.4,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.15,0.6,103,5.388349514563107,19.805825242718445,25.194174757281555
2024 winter cups,0.3,0.0,103,4.902912621359223,20.58252427184466,25.48543689320388
2024 winter cups,0.3,0.1,103,4.902912621359223,19.805825242718445,24.70873786407767
2024 winter cups,0.3,0.2,103,4.902912621359223,19.805825242718445,24.70873786407767
2024 winter cups,0.3,0.3,103,4.902912621359223,19.805825242718445,24.70873786407767
2024 winter cups,0.3,0.4,103,4.902912621359223,19.805825242718445,24.70873786407767
2024 winter cups,0.3,0.6,103,4.902912621359223,19.805825242718445,24.70873786407767
2024 winter cups,0.45,0.0,103,4.902912621359223,20.58252427184466,25.48543689320388
2024 winter cups,0.45,0.1,103,4.902912621359223,20.194174757281555,25.097087378640776
2024 winter cups,0.45,0.2,103,4.902912621359223,20.194174757281555,25.097087378640776
2024 winter cups,0.45,0.3,103,4.902912621359223,19.805825242718445,24.70873786407767
2024 winter cups,0.45,0.4,103,4.902912621359223,19.805825242718445,24.70873786407767
2024 winter cups,0.45,0.6,103,4.902912621359223,19.805825242718445,24.70873786407767
2024 winter cups,0.6,0.0,103,5.339805825242719,20.194174757281555,25.533980582524272
2024 winter cups,0.6,0.1,103,5.339805825242719,20.194174757281555,25.533980582524272
2024 winter cups,0.6,0.2,103,5.339805825242719,20.194174757281555,25.533980582524272
2024 winter cups,0.6,0.3,103,5.339805825242719,20.194174757281555,25.533980582524272
2024 winter cups,0.6,0.4,103,5.339805825242719,19.805825242718445,25.145631067961165
2024 winter cups,0.6,0.6,103,5.339805825242719,19.805825242718445,25.145631067961165
2025 AFCON,0.0,0.0,52,6.346153846153846,26.923076923076923,33.26923076923077
2025 AFCON,0.0,0.1,52,6.346153846153846,26.15384615384616,32.5
2025 AFCON,0.0,0.2,52,6.346153846153846,26.923076923076923,33.26923076923077
2025 AFCON,0.0,0.3,52,6.346153846153846,26.923076923076923,33.26923076923077
2025 AFCON,0.0,0.4,52,6.346153846153846,26.923076923076923,33.26923076923077
2025 AFCON,0.0,0.6,52,6.346153846153846,26.15384615384616,32.5
2025 AFCON,0.05,0.0,52,6.346153846153846,26.15384615384616,32.5
2025 AFCON,0.05,0.1,52,6.346153846153846,26.15384615384616,32.5
2025 AFCON,0.05,0.2,52,6.346153846153846,26.15384615384616,32.5
2025 AFCON,0.05,0.3,52,6.346153846153846,26.15384615384616,32.5
2025 AFCON,0.05,0.4,52,6.346153846153846,26.923076923076923,33.26923076923077
2025 AFCON,0.05,0.6,52,6.346153846153846,26.15384615384616,32.5
2025 AFCON,0.1,0.0,52,6.538461538461538,26.15384615384616,32.69230769230769
2025 AFCON,0.1,0.1,52,6.538461538461538,26.15384615384616,32.69230769230769
2025 AFCON,0.1,0.2,52,6.538461538461538,26.15384615384616,32.69230769230769
2025 AFCON,0.1,0.3,52,6.538461538461538,26.15384615384616,32.69230769230769
